uid	tcga_12_3653_01a_01r_1849_01_bed	tcga_02_2486_01a_01r_1849_01_bed	tcga_28_1747_01c_01r_1850_01_bed	tcga_06_aabw_11a_31r_a36h_07_bed	tcga_02_0055_01a_01r_1849_01_bed	tcga_27_1832_01a_01r_1850_01_bed	tcga_06_0190_02a_01r_2005_01_bed	tcga_06_0138_01a_02r_1849_01_bed	tcga_02_2485_01a_01r_1849_01_bed	tcga_28_5218_01a_01r_1850_01_bed	tcga_14_2554_01a_01r_1850_01_bed	tcga_14_0781_01b_01r_1849_01_bed	tcga_27_2528_01a_01r_1850_01_bed	tcga_06_0645_01a_01r_1849_01_bed	tcga_28_2513_01a_01r_1850_01_bed	tcga_28_5213_01a_01r_1850_01_bed	tcga_06_0646_01a_01r_1849_01_bed	tcga_06_0211_02a_02r_2005_01_bed	tcga_15_1444_01a_02r_1850_01_bed	tcga_14_0789_01a_01r_1849_01_bed	tcga_12_0616_01a_01r_1849_01_bed	tcga_28_5216_01a_01r_1850_01_bed	tcga_19_5960_01a_11r_1850_01_bed	tcga_06_5416_01a_01r_1849_01_bed	tcga_06_2567_01a_01r_1849_01_bed	tcga_06_5418_01a_01r_1849_01_bed	tcga_32_5222_01a_01r_1850_01_bed	tcga_27_1830_01a_01r_1850_01_bed	tcga_06_0158_01a_01r_1849_01_bed	tcga_32_2616_01a_01r_1850_01_bed	tcga_19_1787_01b_01r_1850_01_bed	tcga_06_2562_01a_01r_1849_01_bed	tcga_06_5411_01a_01r_1849_01_bed	tcga_06_0238_01a_02r_1849_01_bed	tcga_14_1825_01a_01r_1850_01_bed	tcga_28_2499_01a_01r_1850_01_bed	tcga_06_0681_11a_41r_a36h_07_bed	tcga_28_5215_01a_01r_1850_01_bed	tcga_76_4925_01a_01r_1850_01_bed	tcga_06_0747_01a_01r_1849_01_bed	tcga_06_0211_01a_01r_1849_01_bed	tcga_12_0619_01a_01r_1849_01_bed	tcga_06_0680_11a_32r_a36h_07_bed	tcga_28_5207_01a_01r_1850_01_bed	tcga_28_5204_01a_01r_1850_01_bed	tcga_32_4213_01a_01r_1850_01_bed	tcga_06_0219_01a_01r_1849_01_bed	tcga_27_1837_01a_01r_1850_01_bed	tcga_06_5417_01a_01r_1849_01_bed	tcga_06_0686_01a_01r_1849_01_bed	tcga_19_1389_02a_21r_2005_01_bed	tcga_06_0129_01a_01r_1849_01_bed	tcga_28_5209_01a_01r_1850_01_bed	tcga_14_0817_01a_01r_1849_01_bed	tcga_06_2569_01a_01r_1849_01_bed	tcga_06_0210_01a_01r_1849_01_bed	tcga_12_0821_01a_01r_1849_01_bed	tcga_14_1034_01a_01r_1849_01_bed	tcga_06_0187_01a_01r_1849_01_bed	tcga_28_2514_01a_02r_1850_01_bed	tcga_12_3650_01a_01r_1849_01_bed	tcga_27_2524_01a_01r_1850_01_bed	tcga_19_2629_01a_01r_1850_01_bed	tcga_06_5856_01a_01r_1849_01_bed	tcga_28_5220_01a_01r_1850_01_bed	tcga_32_1970_01a_01r_1850_01_bed	tcga_06_0744_01a_01r_1849_01_bed	tcga_12_5299_01a_02r_1849_01_bed	tcga_19_0957_02a_11r_2005_01_bed	tcga_06_0139_01a_01r_1849_01_bed	tcga_14_0787_01a_01r_1849_01_bed	tcga_06_0678_11a_32r_a36h_07_bed	tcga_06_0649_01b_01r_1849_01_bed	tcga_14_1829_01a_01r_1850_01_bed	tcga_27_1831_01a_01r_1850_01_bed	tcga_32_2632_01a_01r_1850_01_bed	tcga_06_5858_01a_01r_1849_01_bed	tcga_14_1823_01a_01r_1849_01_bed	tcga_26_5135_01a_01r_1850_01_bed	tcga_06_0750_01a_01r_1849_01_bed	tcga_06_0141_01a_01r_1849_01_bed	tcga_06_0749_01a_01r_1849_01_bed	tcga_26_5133_01a_01r_1850_01_bed	tcga_26_5136_01b_01r_1850_01_bed	tcga_14_0790_01b_01r_1849_01_bed	tcga_76_4929_01a_01r_1850_01_bed	tcga_28_5208_01a_01r_1850_01_bed	tcga_32_2615_01a_01r_1850_01_bed	tcga_06_2561_01a_02r_1849_01_bed	tcga_27_2526_01a_01r_1850_01_bed	tcga_76_4928_01b_01r_1850_01_bed	tcga_28_2510_01a_01r_1850_01_bed	tcga_15_0742_01a_01r_1850_01_bed	tcga_41_5651_01a_01r_1850_01_bed	tcga_14_1402_02a_01r_2005_01_bed	tcga_06_2570_01a_01r_1849_01_bed	tcga_06_0156_01a_03r_1849_01_bed	tcga_27_2523_01a_01r_1850_01_bed	tcga_16_1045_01b_01r_1850_01_bed	tcga_06_0743_01a_01r_1849_01_bed	tcga_19_2625_01a_01r_1850_01_bed	tcga_32_2634_01a_01r_1850_01_bed	tcga_41_3915_01a_01r_1850_01_bed	tcga_06_0211_01b_01r_1849_01_bed	tcga_27_2521_01a_01r_1850_01_bed	tcga_32_1980_01a_01r_1850_01_bed	tcga_06_2563_01a_01r_1849_01_bed	tcga_27_2519_01a_01r_1850_01_bed	tcga_28_1753_01a_01r_1850_01_bed	tcga_06_0745_01a_01r_1849_01_bed	tcga_06_5408_01a_01r_1849_01_bed	tcga_16_0846_01a_01r_1850_01_bed	tcga_06_2564_01a_01r_1849_01_bed	tcga_76_4927_01a_01r_1850_01_bed	tcga_06_2557_01a_01r_1849_01_bed	tcga_06_2565_01a_01r_1849_01_bed	tcga_76_4931_01a_01r_1850_01_bed	tcga_06_0221_02a_11r_2005_01_bed	tcga_76_4926_01b_01r_1850_01_bed	tcga_12_1597_01b_01r_1849_01_bed	tcga_27_1834_01a_01r_1850_01_bed	tcga_06_0168_01a_01r_1849_01_bed	tcga_14_0871_01a_01r_1849_01_bed	tcga_06_0132_01a_02r_1849_01_bed	tcga_06_5414_01a_01r_1849_01_bed	tcga_12_5295_01a_01r_1849_01_bed	tcga_19_2620_01a_01r_1850_01_bed	tcga_32_2638_01a_01r_1850_01_bed	tcga_06_0878_01a_01r_1849_01_bed	tcga_06_0190_01a_01r_1849_01_bed	tcga_06_0174_01a_01r_1849_01_bed	tcga_06_0171_02a_11r_2005_01_bed	tcga_27_1835_01a_01r_1850_01_bed	tcga_06_2559_01a_01r_1849_01_bed	tcga_19_4065_01a_01r_2005_01_bed	tcga_06_2558_01a_01r_1849_01_bed	tcga_06_0184_01a_01r_1849_01_bed	tcga_14_0736_02a_01r_2005_01_bed	tcga_06_1804_01a_01r_1849_01_bed	tcga_06_0178_01a_01r_1849_01_bed	tcga_19_2619_01a_01r_1850_01_bed	tcga_06_0675_11a_32r_a36h_07_bed	tcga_76_4932_01a_01r_1850_01_bed	tcga_41_2572_01a_01r_1850_01_bed	tcga_02_0047_01a_01r_1849_01_bed	tcga_26_5132_01a_01r_1850_01_bed	tcga_26_5134_01a_01r_1850_01_bed	tcga_06_0130_01a_01r_1849_01_bed	tcga_06_0125_01a_01r_1849_01_bed	tcga_41_4097_01a_01r_1850_01_bed	tcga_26_1442_01a_01r_1850_01_bed	tcga_06_0882_01a_01r_1849_01_bed	tcga_12_0618_01a_01r_1849_01_bed	tcga_06_0125_02a_11r_2005_01_bed	tcga_26_5139_01a_01r_1850_01_bed	tcga_12_3652_01a_01r_1849_01_bed	tcga_32_1982_01a_01r_1850_01_bed	tcga_08_0386_01a_01r_1849_01_bed	tcga_14_1034_02b_01r_2005_01_bed	tcga_06_0644_01a_02r_1849_01_bed	tcga_19_1390_01a_01r_1850_01_bed	tcga_06_0210_02a_01r_2005_01_bed	tcga_06_5410_01a_01r_1849_01_bed	tcga_06_5859_01a_01r_1849_01_bed	tcga_06_5412_01a_01r_1849_01_bed	tcga_28_2509_01a_01r_1850_01_bed	tcga_19_2624_01a_01r_1850_01_bed	tcga_41_2571_01a_01r_1850_01_bed	tcga_06_0156_01a_02r_1849_01_bed	tcga_06_5413_01a_01r_1849_01_bed	tcga_06_0157_01a_01r_1849_01_bed	tcga_19_4065_02a_11r_2005_01_bed	tcga_06_0152_02a_01r_2005_01_bed	tcga_02_2483_01a_01r_1849_01_bed
MINK1:ENSG00000141503:E42.1-E42.6|ENSG00000141503:E42.1-E42.4	1.0	0.98	0.93	0.65	0.82	0.97	0.92	0.91	0.92	0.99	0.9	0.98	0.96	0.86	0.99	1.0	0.93	0.91	0.99	1.0	0.91	0.97	0.72	0.94	0.97	0.99	0.95	0.93	0.96	1.0	0.99	0.93	0.35	0.66	0.97	0.97	0.13	0.99	0.98	0.97	1.0	0.94	0.14	0.61	0.92	0.97	0.76	0.96	1.0	0.77	0.97	0.97	0.96	0.94	0.99	0.98	0.9	1.0	0.98	0.67	1.0	0.98	0.98	0.95	1.0	0.85	0.95	0.85	0.82	0.94	0.88	0.18	0.99	0.88	0	0.96	1.0	1.0	0.96	0.91	0.99	0.66	0.99	0.94	0.97	0.93	0.97	0.92	0.79	0.99	0.99	0.35	0.94	0.62	0.89	0.91	0.99	0.98	0.83	1.0	1.0	0.89	0.98	0.88	1.0	0.46	0.89	0.96	1.0	1.0	0.7	0.86	0.99	0.95	0.96	0.99	0.86	0.41	0.88	0.76	0.94	0.74	0.78	0.39	0.98	1.0	0.96	0.94	1.0	0.99	0.93	0.95	1.0	0.91	0.94	0.77	0.99	0.86	0.93	0.9	0.97	0.13	0.98	0.98	0.85	0.98	1.0	0.96	0.97	0.79	0.85	0.86	0.71	0.89	0.93	0.94	0.86	0.85	0.86	1.0	0.98	0.98	0.93	0.98	0.94	1.0	0.82	0.79	0.9	0.96	1.0	0.5	0.72	0.88
MINK1:ENSG00000141503:E42.4-E42.6|ENSG00000141503:E42.1-E42.6	0.0	0.01	0.04	0.18	0.09	0.01	0.04	0.04	0.04	0.01	0.05	0.01	0.03	0.07	0.01	0.0	0.04	0.06	0.01	0.0	0.06	0.01	0.14	0.03	0.02	0.0	0.01	0.03	0.03	0.0	0.01	0.04	0.48	0.19	0.0	0.01	0.73	0.01	0.01	0.01	0.0	0.02	0.71	0.24	0.04	0.0	0.11	0.02	0.0	0.14	0.01	0.02	0.02	0.02	0.01	0.01	0.06	0.0	0.01	0.2	0.0	0.0	0.01	0.04	0.0	0.08	0.02	0.09	0.1	0.03	0.06	0.65	0.01	0.07	0	0.02	0.0	0.0	0.01	0.05	0.0	0.2	0.01	0.0	0.02	0.04	0.0	0.05	0.12	0.01	0.01	0.49	0.02	0.23	0.06	0.04	0.0	0.01	0.1	0.0	0.0	0.07	0.01	0.07	0.0	0.36	0.06	0.02	0.0	0.0	0.16	0.07	0.01	0.02	0.02	0.01	0.08	0.42	0.05	0.07	0.04	0.16	0.12	0.43	0.01	0.0	0.02	0.04	0.0	0.01	0.05	0.02	0.0	0.04	0.04	0.12	0.01	0.06	0.04	0.04	0.02	0.74	0.01	0.01	0.08	0.01	0.0	0.02	0.02	0.11	0.07	0.06	0.16	0.04	0.04	0.02	0.09	0.08	0.07	0.0	0.01	0.0	0.02	0.01	0.04	0.0	0.12	0.14	0.05	0.02	0.0	0.33	0.17	0.09
APP:ENSG00000142192:E10.2-E14.1|ENSG00000142192:E10.2-E12.1	0.06	0.05	0.08	0.15	0.03	0.02	0.01	0.08	0.1	0.02	0.06	0.03	0.06	0.08	0.04	0.05	0.09	0.07	0.08	0.03	0.1	0.05	0.1	0.11	0.09	0.05	0.07	0.04	0.08	0.05	0.05	0.06	0.3	0.2	0.1	0.06	0.35	0.07	0.05	0.04	0.05	0.03	0.36	0.2	0.06	0.05	0.11	0.07	0.1	0.13	0.03	0.12	0.06	0.05	0.02	0.05	0.09	0.04	0.04	0.11	0.13	0.04	0.04	0.04	0.05	0.06	0.08	0.07	0.12	0.03	0.08	0.33	0.04	0.06	0.05	0.04	0.05	0.03	0.1	0.05	0.05	0.18	0.06	0.05	0.06	0.1	0.09	0.08	0.04	0.05	0.03	0.27	0.11	0.12	0.09	0.08	0.1	0.06	0.09	0.06	0.05	0.13	0.05	0.08	0.07	0.18	0.05	0.1	0.08	0.08	0.26	0.08	0.05	0.08	0.07	0.06	0.11	0.33	0.12	0.21	0.04	0.09	0.04	0.16	0.06	0.05	0.07	0.05	0.05	0.03	0.17	0.04	0.09	0.08	0.03	0.12	0.04	0.08	0.08	0.07	0.1	0.37	0.05	0.05	0.09	0.04	0.11	0.02	0.05	0.06	0.09	0.07	0.23	0.04	0.06	0.05	0.04	0.05	0.06	0.03	0.12	0.06	0.05	0.05	0.04	0.04	0.22	0.31	0.1	0.09	0.06	0.16	0.08	0.11
PRKACB:ENSG00000142875:E5.5-E6.1|ENSG00000142875:E1.2-E9.5	0.0	0.0	0.08	0.11	0.15	0.0	0.03	0.06	0.01	0.0	0.12	0.04	0.02	0.05	0.0	0.0	0.02	0.02	0.01	0.0	0.02	0.04	0.07	0.07	0.01	0.0	0.01	0.0	0.04	0.0	0.0	0.06	0.4	0.1	0.0	0.0	0.53	0.02	0.02	0.04	0.01	0.0	0.55	0.19	0.03	0.0	0.08	0.03	0.0	0.04	0.0	0.01	0.03	0.03	0.0	0.0	0.04	0.0	0.0	0.13	0.09	0.03	0.02	0.06	0.0	0.05	0.03	0.05	0.05	0.0	0.02	0.56	0.02	0.01	0.0	0.07	0.0	0.0	0.02	0.0	0.02	0.06	0.0	0	0.0	0.06	0.02	0.02	0.07	0.0	0.0	0.34	0.0	0.09	0.2	0.02	0.07	0.02	0.02	0.0	0.0	0.08	0.0	0.08	0.0	0.32	0.13	0.15	0.05	0.0	0.06	0.03	0.02	0.0	0.04	0.0	0.09	0.31	0.1	0.05	0.01	0.1	0.0	0.4	0.0	0.0	0.03	0.03	0.0	0.03	0.05	0.01	0.0	0.03	0.02	0.09	0.0	0.16	0.05	0.06	0.01	0.53	0.0	0.0	0.08	0.01	0.0	0.0	0.0	0.08	0.03	0.07	0.12	0.05	0.02	0.01	0.07	0.03	0.11	0.0	0.02	0.0	0.04	0.01	0.02	0.0	0.1	0.04	0.05	0.02	0.02	0.42	0.04	0.03
CELSR2:ENSG00000143126:E26.3-E26.5|ENSG00000143126:E26.3-E26.5_109274161	0.08	0.0	0.26	0.64	0.07	0.02	0.15	0.15	0.12	0	0.21	0.07	0.15	0.29	0.02	0	0.15	0.16	0.3	0.13	0.04	0.09	0.33	0.18	0.12	0.1	0.16	0.14	0.18	0.06	0.08	0.2	0.81	0.59	0.37	0.05	0.95	0.15	0.1	0.16	0.13	0.12	0.94	0.68	0.08	0.12	0.56	0.22	0.17	0.25	0.05	0.1	0.02	0.16	0.22	0.14	0.32	0.0	0.03	0.37	0.15	0.08	0.21	0.02	0.11	0.16	0.07	0.02	0.44	0	0.14	0.95	0.13	0.33	0	0.06	0.12	0.0	0.17	0.12	0.21	0.69	0.07	0.06	0.11	0.17	0.04	0.23	0.45	0.13	0.0	0.78	0.18	0.26	0.36	0.12	0.21	0.06	0.18	0.24	0.02	0.27	0.15	0.08	0.14	0.73	0.17	0.18	0.09	0.24	0.07	0.38	0.08	0.13	0.17	0.04	0.22	0.6	0.29	0.35	0.14	0.3	0	0.84	0.04	0.03	0.3	0.13	0.06	0.07	0.13	0.12	0.03	0.21	0.21	0.28	0.13	0.69	0.29	0.42	0.14	0.94	0.05	0.08	0.21	0.1	0.17	0.04	0.04	0.55	0.3	0.35	0.26	0.27	0.09	0.03	0.24	0.16	0.2	0.08	0.13	0.25	0.38	0.29	0.2	0.1	0.24	0.41	0.21	0.1	0.09	0.88	0.21	0.12
CAMK2D:ENSG00000145349:E35.1-E36.1|ENSG00000145349:E29.2-E37.1	0.0	0.0	0.03	0.52	0.09	0.0	0.0	0.13	0.01	0.0	0.04	0.0	0.0	0.02	0.02	0.0	0.05	0.02	0.01	0.0	0.01	0.02	0.06	0.02	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.02	0.46	0.44	0.0	0.0	0.82	0.01	0.0	0.01	0.0	0.0	0.78	0.2	0.01	0.0	0.04	0.02	0.02	0.16	0.0	0.0	0.0	0.02	0.0	0.0	0.09	0.0	0.0	0.11	0.03	0.0	0.0	0.0	0.0	0.03	0.01	0.01	0.05	0.0	0.02	0.73	0.0	0.0	0.0	0.06	0.0	0.03	0.0	0.04	0.01	0.45	0.0	0.06	0.0	0.02	0.02	0.02	0.05	0.0	0.0	0.53	0.01	0.23	0.02	0.02	0.02	0.0	0.0	0.0	0.0	0.06	0.0	0.02	0.0	0.36	0.02	0.01	0.0	0.01	0.0	0.13	0.01	0.01	0.01	0.0	0.02	0.54	0.09	0.03	0.02	0.0	0.0	0.55	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.01	0.0	0.01	0.02	0.11	0.0	0.21	0.05	0.02	0.0	0.76	0.0	0.0	0.05	0.0	0.0	0.0	0.01	0.07	0.06	0.03	0.03	0.04	0.03	0.0	0.03	0.04	0.01	0.0	0.0	0.0	0.02	0.01	0.02	0.0	0.02	0.03	0.02	0.0	0.0	0.27	0.07	0.0
CAMK2D:ENSG00000145349:E36.2-E37.1|ENSG00000145349:E29.2-E37.1	0.03	0.1	0.02	0.53	0.11	0.03	0.02	0.09	0.03	0.02	0.04	0.04	0.02	0.06	0.02	0.02	0.11	0.08	0.06	0.01	0.06	0.01	0.07	0.1	0.08	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.55	0.28	0.16	0.05	0.91	0.07	0.0	0.01	0.01	0.05	0.86	0.22	0.04	0.06	0.03	0.05	0.07	0.14	0.07	0.03	0.01	0.01	0.03	0.0	0.1	0.03	0.02	0.07	0.07	0.02	0.03	0.02	0.04	0.03	0.02	0.03	0.08	0.05	0.03	0.76	0.03	0.03	0.15	0.05	0.0	0.03	0.09	0.08	0.01	0.33	0.03	0.06	0.01	0.07	0.02	0.03	0.06	0.07	0.01	0.48	0.01	0.32	0.05	0.03	0.02	0.03	0.07	0.08	0.01	0.05	0.03	0.04	0.06	0.35	0.02	0.07	0.01	0.01	0.06	0.11	0.02	0.06	0.05	0.01	0.04	0.6	0.08	0.1	0.02	0.11	0.08	0.55	0.01	0.05	0.02	0.02	0.06	0.0	0.1	0.01	0.11	0.09	0.07	0.1	0.01	0.19	0.06	0.1	0.03	0.85	0.01	0.02	0.04	0.01	0.09	0.05	0.02	0.04	0.09	0.03	0.25	0.04	0.04	0.02	0.04	0.06	0.03	0.0	0.03	0.11	0.04	0.01	0.04	0.01	0.12	0.19	0.04	0.02	0.01	0.24	0.09	0.08
CAMK2D:ENSG00000145349:E29.2-E35.1|ENSG00000145349:E29.2-E37.1	0.0	0.0	0.01	0.46	0.08	0.0	0.0	0.13	0.05	0.0	0.04	0.0	0.0	0.01	0.01	0.0	0.03	0.01	0.0	0.0	0.0	0.01	0.06	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.37	0.39	0.15	0.0	0.72	0.01	0.0	0.0	0.0	0.0	0.75	0.12	0.0	0.0	0.04	0.02	0.0	0.05	0.0	0.0	0.0	0.04	0.0	0.0	0.07	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.01	0.04	0.0	0.0	0.66	0.01	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.06	0.0	0.0	0.01	0.02	0.03	0.0	0.0	0.46	0.0	0.14	0.0	0.03	0.02	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.32	0.02	0.0	0.0	0.0	0.0	0.11	0.02	0.0	0.01	0.0	0.03	0.49	0.07	0.06	0.0	0.05	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.02	0.0	0.08	0.0	0.1	0.02	0.0	0.0	0.73	0.0	0.0	0.05	0.0	0.0	0.0	0.01	0.01	0.04	0.07	0.03	0.03	0.02	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.02	0.01	0.0	0.0	0.16	0.04	0.0
CAMK2D:ENSG00000145349:E29.2-E37.1|ENSG00000145349:E36.2-E37.1	0.82	0.75	0.84	0.19	0.62	0.75	0.82	0.57	0.67	0.85	0.76	0.77	0.79	0.68	0.76	0.88	0.65	0.71	0.71	0.81	0.74	0.78	0.62	0.65	0.77	0.76	0.78	0.75	0.72	0.83	0.82	0.78	0.19	0.28	0.65	0.77	0.02	0.72	0.77	0.8	0.83	0.73	0.02	0.37	0.74	0.8	0.8	0.69	0.79	0.52	0.69	0.75	0.77	0.83	0.82	0.79	0.61	0.82	0.73	0.61	0.81	0.86	0.85	0.76	0.75	0.77	0.81	0.8	0.68	0.68	0.73	0.06	0.79	0.74	0.61	0.79	0.79	0.63	0.69	0.68	0.86	0.3	0.76	0.39	0.86	0.65	0.87	0.79	0.67	0.81	0.82	0.19	0.75	0.33	0.63	0.76	0.76	0.79	0.74	0.83	0.76	0.68	0.76	0.83	0.68	0.29	0.78	0.73	0.86	0.79	0.73	0.66	0.75	0.81	0.84	0.78	0.7	0.15	0.64	0.68	0.71	0.67	0.77	0.18	0.83	0.8	0.75	0.87	0.69	0.84	0.66	0.82	0.71	0.67	0.74	0.58	0.81	0.44	0.67	0.67	0.81	0.02	0.77	0.88	0.67	0.78	0.75	0.83	0.76	0.71	0.61	0.73	0.49	0.71	0.75	0.83	0.78	0.7	0.82	0.78	0.85	0.76	0.7	0.82	0.78	0.83	0.57	0.58	0.76	0.85	0.72	0.41	0.69	0.78
ANK2:ENSG00000145362:E72.2-E74.1|ENSG00000145362:E67.1-E74.1	0.0	0.02	0.05	0.17	0.11	0.05	0.07	0.07	0.05	0	0.05	0.02	0.01	0.05	0.01	0.05	0.1	0.08	0.02	0.01	0.07	0.03	0.2	0.06	0.01	0.02	0.03	0.02	0.04	0.02	0.03	0.04	0.27	0.21	0.06	0.03	0.5	0.04	0.03	0.06	0.02	0.08	0.53	0.23	0.01	0.0	0.12	0.05	0.02	0.05	0.0	0.05	0.02	0.06	0.08	0.02	0.06	0.01	0.01	0.15	0.05	0.03	0.01	0.01	0.01	0.1	0.04	0.02	0.07	0.08	0.06	0.44	0.07	0.05	0.0	0.03	0.0	0.0	0.01	0.0	0.03	0.14	0.03	0.03	0.01	0.06	0.04	0.03	0.08	0.0	0.02	0.33	0.03	0.19	0.08	0.03	0.06	0.03	0.24	0.04	0.05	0.17	0.01	0.05	0.01	0.2	0.04	0.07	0.1	0.02	0.28	0.03	0.01	0.02	0.08	0.01	0.09	0.44	0.05	0.22	0.04	0.07	0	0.19	0.02	0.0	0.05	0.02	0.01	0.04	0.12	0.04	0.02	0.06	0.05	0.11	0.04	0.12	0.04	0.13	0.02	0.52	0.0	0.06	0.1	0.02	0.0	0.05	0.04	0.09	0.07	0.05	0.25	0.06	0.05	0.01	0.04	0.07	0.08	0.01	0.03	0.03	0.05	0.01	0.02	0.02	0.17	0.36	0.11	0.03	0.03	0.23	0.07	0.23
ANK2:ENSG00000145362:E52.2-E54.3|ENSG00000145362:E53.1-E54.3	0.97	0.93	0.9	0.73	0.97	0.96	0.9	0	0.91	0.88	0.87	0.95	0.9	0.8	0.89	0.98	0.88	0.83	0.93	0.91	1.0	0.8	0.87	0.9	0.93	0.94	0.93	0.94	0.89	0.94	0.93	0.86	0.55	0.62	0	0.91	0.24	0.92	0.9	0.93	0.92	0.91	0.18	0.73	0.9	0.89	0.94	0.94	0.92	0.92	0.94	0.94	0.94	0.96	0.94	0.93	0.98	0.94	0.88	0.77	0.84	0.94	0.94	0.84	0.93	0.9	0.94	0.91	0.87	0	0.86	0.28	0.93	0	0	0.91	0.93	1.0	0.95	0.8	0.88	0.78	0.91	0.86	0.9	0.9	0.93	0.94	0.8	1.0	0.94	0.63	0.87	0.8	0.94	0.92	0.93	0.94	0.93	0.94	0.94	0.89	0.98	0.9	0.95	0.61	0.84	0.91	0.92	0.92	0.71	0.93	0.89	0.91	0.94	0.91	0.85	0.36	0.83	0.81	0.94	0.85	0	0.69	0.91	0.91	0.96	0.9	0.96	0.96	0.84	0.93	0.94	0.92	0.94	0.92	0.87	0.79	0.91	0.76	0.9	0.18	0.92	0.95	0.84	0.91	1.0	0.92	0.95	0.92	0.87	0.91	0.76	0.87	0.88	1.0	0.96	0.89	0.84	0.93	1.0	0.91	0.87	0.92	0.9	0.92	0.93	0.86	0.86	0.91	0.93	0.59	0.83	0.85
FBXO25:ENSG00000147364:E21.1-E22.1|ENSG00000147364:E21.1-E23.1	0.06	0.09	0.06	0.42	0.05	0.05	0.02	0.09	0.17	0.03	0.06	0.07	0.06	0.09	0.01	0.02	0.09	0.08	0.25	0.02	0.12	0.1	0.09	0.12	0.07	0.01	0.11	0.09	0.14	0.1	0.17	0.1	0.46	0.3	0.09	0.06	0.68	0.1	0.03	0.04	0.04	0.07	0.69	0.19	0.04	0.1	0.15	0.15	0.07	0.19	0.01	0.09	0.03	0.06	0.0	0.09	0.06	0.05	0.06	0.34	0.08	0.02	0.08	0.25	0.06	0.03	0.13	0.08	0.25	0.0	0.12	0.71	0.02	0.07	0.06	0.05	0.13	0.15	0.13	0.06	0.04	0.29	0.12	0.19	0.09	0.22	0.06	0.06	0.12	0.12	0.03	0.43	0.08	0.13	0.1	0.13	0.11	0.05	0.11	0.06	0.1	0.13	0.09	0.09	0.14	0.41	0.05	0.09	0.09	0.04	0.12	0.12	0.09	0.11	0.12	0.0	0.19	0.41	0.21	0.38	0.07	0.2	0	0.28	0.07	0.07	0.09	0.09	0.03	0.07	0.24	0.14	0.09	0.12	0.09	0.17	0.1	0.37	0.12	0.22	0.09	0.67	0.0	0.04	0.19	0.04	0.0	0.04	0.05	0.09	0.2	0.22	0.41	0.12	0.05	0.0	0.04	0.07	0.05	0.0	0.08	0.09	0.13	0.11	0.06	0.01	0.24	0.34	0.13	0.09	0.05	0.18	0.17	0.15
FBXO25:ENSG00000147364:E22.1-I23.2|ENSG00000147364:E21.1-E23.1	0.08	0.06	0.05	0.4	0.04	0.03	0.02	0.05	0.15	0.03	0.07	0.03	0.02	0.11	0.02	0.05	0.1	0.09	0.23	0.03	0.1	0.09	0.06	0.12	0.06	0.01	0.1	0.12	0.13	0.1	0.17	0.07	0.43	0.23	0.09	0.07	0.71	0.12	0.03	0.0	0.01	0.05	0.63	0.14	0.04	0.03	0.11	0.07	0.04	0.15	0.01	0.08	0.03	0.05	0.0	0.08	0.1	0.03	0.08	0.26	0.05	0.04	0.1	0.25	0.05	0.05	0.1	0.12	0.29	0.0	0.1	0.61	0.03	0.09	0.03	0.01	0.08	0.07	0.1	0.07	0.02	0.24	0.07	0.28	0.1	0.18	0.01	0.04	0.08	0.08	0.03	0.39	0.09	0.11	0.08	0.06	0.11	0.04	0.09	0.07	0.12	0.12	0.05	0.04	0.08	0.35	0.09	0.13	0.03	0.09	0.11	0.1	0.08	0.12	0.11	0.02	0.17	0.37	0.27	0.37	0.1	0.24	0	0.25	0.0	0.05	0.09	0.06	0.03	0.13	0.26	0.11	0.17	0.18	0.09	0.12	0.1	0.31	0.06	0.2	0.1	0.73	0.05	0.03	0.13	0.04	0.0	0.04	0.0	0.02	0.1	0.2	0.36	0.11	0.04	0.03	0.0	0.09	0.13	0.01	0.05	0.13	0.07	0.08	0.12	0.03	0.22	0.35	0.1	0.09	0.04	0.17	0.07	0.13
